iter	Passed	Remaining
943	340745	20213
944	341145	19855
945	341469	19491
946	341828	19130
947	342232	18772
948	342475	18404
949	342802	18042
950	343154	17680
951	343492	17318
952	343734	16952
953	344105	16592
954	344549	16235
955	344792	15869
956	345177	15509
957	345604	15151
958	346033	14793
959	346304	14429
960	346696	14069
961	347087	13710
962	347428	13348
963	347795	12988
964	348077	12624
965	348374	12261
966	348674	11898
967	348921	11534
968	349364	11176
969	349669	10814
970	350003	10453
971	350283	10090
972	350543	9727
973	350782	9363
974	351024	9000
975	351260	8637
976	351496	8274
977	351733	7912
978	351974	7550
979	352213	7188
980	352448	6826
981	352686	6464
982	352921	6103
983	353157	5742
984	353394	5381
985	353634	5021
986	354015	4662
987	354254	4302
988	354630	3944
989	354872	3584
990	355204	3225
991	355548	2867
992	355868	2508
993	356288	2150
994	356665	1792
995	357027	1433
996	357270	1075
997	357527	716
998	357809	358
999	358091	0
